 Name                       Version    License                                                        
 CacheControl               0.14.4     Apache-2.0                                                     
 Jinja2                     3.1.6      BSD License                                                    
 MarkupSafe                 3.0.3      BSD-3-Clause                                                   
 PyYAML                     6.0.3      MIT License                                                    
 Pygments                   2.19.2     BSD License                                                    
 accelerate                 1.13.0     Apache Software License                                        
 altgraph                   0.17.5     MIT License                                                    
 annotated-doc              0.0.4      MIT                                                            
 annotated-types            0.7.0      MIT License                                                    
 anyio                      4.12.1     MIT                                                            
 av                         17.0.0     BSD-3-Clause                                                   
 black                      26.3.1     MIT                                                            
 boolean.py                 5.0        UNKNOWN                                                        
 build                      1.4.0      MIT                                                            
 certifi                    2026.2.25  Mozilla Public License 2.0 (MPL 2.0)                           
 cfgv                       3.5.0      UNKNOWN                                                        
 charset-normalizer         3.4.5      UNKNOWN                                                        
 click                      8.3.1      BSD-3-Clause                                                   
 coverage                   7.13.4     UNKNOWN                                                        
 ctranslate2                4.7.1      UNKNOWN                                                        
 cyclonedx-python-lib       11.7.0     Apache Software License                                        
 defusedxml                 0.7.1      Python Software Foundation License                             
 distlib                    0.4.0      Python Software Foundation License                             
 distro                     1.9.0      Apache Software License                                        
 docutils                   0.22.4     BSD License; GNU General Public License (GPL); Public Domain   
 einops                     0.8.2      MIT License                                                    
 fastapi                    0.135.2    MIT                                                            
 faster-whisper             1.2.1      MIT License                                                    
 filelock                   3.25.2     MIT                                                            
 flake8                     7.3.0      MIT License                                                    
 flatbuffers                25.12.19   Apache Software License                                        
 fsspec                     2026.2.0   BSD-3-Clause                                                   
 gguf                       0.18.0     MIT License                                                    
 h11                        0.16.0     MIT License                                                    
 hf-xet                     1.4.2      Apache-2.0                                                     
 httpcore                   1.0.9      BSD-3-Clause                                                   
 httptools                  0.7.1      MIT                                                            
 httpx                      0.28.1     BSD License                                                    
 huggingface_hub            0.36.2     Apache Software License                                        
 id                         1.6.1      Apache Software License                                        
 identify                   2.6.17     UNKNOWN                                                        
 idna                       3.11       BSD-3-Clause                                                   
 imageio-ffmpeg             0.6.0      BSD License                                                    
 iniconfig                  2.3.0      MIT                                                            
 jaraco.classes             3.4.0      MIT License                                                    
 jaraco.context             6.1.1      MIT                                                            
 jaraco.functools           4.4.0      MIT                                                            
 jiter                      0.13.0     MIT License                                                    
 keyring                    25.7.0     MIT                                                            
 langdetect                 1.0.9      Apache Software License                                        
 librt                      0.8.1      MIT License                                                    
 license-expression         30.4.4     UNKNOWN                                                        
 loguru                     0.7.3      MIT License                                                    
 macholib                   1.16.4     MIT License                                                    
 markdown-it-py             4.0.0      MIT License                                                    
 mccabe                     0.7.0      MIT License                                                    
 mdurl                      0.1.2      MIT License                                                    
 mediafactory               0.2.1      MIT License                                                    
 mediafactory               0.2.1      MIT License                                                    
 more-itertools             10.8.0     MIT                                                            
 mpmath                     1.3.0      BSD License                                                    
 msgpack                    1.1.2      Apache-2.0                                                     
 mypy                       1.19.1     MIT License                                                    
